trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"Bayside_Burlingame_pm_T05","17:22:00","17:22:00","BurlBay_16","8","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T05","17:28:00","17:28:00","BurlBay_02","9","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T05","17:29:00","17:29:00","BurlBay_03","10","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T05","17:30:00","17:30:00","BurlBay_04","11","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T05","17:31:00","17:31:00","BurlBay_05","12","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T05","17:35:00","17:35:00","BurlBay_01","13","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_pm_T06","17:21:00","17:21:00","BurlBay_01","1","Airport Blvd./Rollins Rd","0","0","0.00000000",1
"Bayside_Burlingame_pm_T06","17:32:00","17:32:00","BurlBay_10","2","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T06","17:32:00","17:32:00","BurlBay_11","3","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T06","17:33:00","17:33:00","BurlBay_12","4","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T06","17:34:00","17:34:00","BurlBay_13","5","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T06","17:40:00","17:40:00","BurlBay_14","6","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T06","17:41:00","17:41:00","BurlBay_15","7","Millbrae Intermodal Station","0","0","8.42200000",1
"Bayside_Burlingame_pm_T06","17:42:00","17:42:00","BurlBay_16","8","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T06","17:48:00","17:48:00","BurlBay_02","9","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T06","17:49:00","17:49:00","BurlBay_03","10","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T06","17:50:00","17:50:00","BurlBay_04","11","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T06","17:51:00","17:51:00","BurlBay_05","12","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T06","17:55:00","17:55:00","BurlBay_01","13","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_pm_T07","17:41:00","17:41:00","BurlBay_01","1","Airport Blvd./Rollins Rd","0","0","0.00000000",1
"Bayside_Burlingame_pm_T07","17:52:00","17:52:00","BurlBay_10","2","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T07","17:52:00","17:52:00","BurlBay_11","3","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T07","17:53:00","17:53:00","BurlBay_12","4","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T07","17:54:00","17:54:00","BurlBay_13","5","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T07","18:00:00","18:00:00","BurlBay_14","6","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T07","18:01:00","18:01:00","BurlBay_15","7","Millbrae Intermodal Station","0","0","8.42200000",1
"Bayside_Burlingame_pm_T07","18:02:00","18:02:00","BurlBay_16","8","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T07","18:08:00","18:08:00","BurlBay_02","9","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T07","18:09:00","18:09:00","BurlBay_03","10","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T07","18:10:00","18:10:00","BurlBay_04","11","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T07","18:11:00","18:11:00","BurlBay_05","12","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T07","18:15:00","18:15:00","BurlBay_01","13","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_pm_T08","18:01:00","18:01:00","BurlBay_01","1","Airport Blvd./Rollins Rd","0","0","0.00000000",1
"Bayside_Burlingame_pm_T08","18:12:00","18:12:00","BurlBay_10","2","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T08","18:12:00","18:12:00","BurlBay_11","3","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T08","18:13:00","18:13:00","BurlBay_12","4","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T08","18:14:00","18:14:00","BurlBay_13","5","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T08","18:20:00","18:20:00","BurlBay_14","6","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T08","18:21:00","18:21:00","BurlBay_15","7","Millbrae Intermodal Station","0","0","8.42200000",1
"Bayside_Burlingame_pm_T08","18:22:00","18:22:00","BurlBay_16","8","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T08","18:28:00","18:28:00","BurlBay_02","9","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T08","18:29:00","18:29:00","BurlBay_03","10","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T08","18:30:00","18:30:00","BurlBay_04","11","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T08","18:31:00","18:31:00","BurlBay_05","12","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T08","18:35:00","18:35:00","BurlBay_01","13","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_pm_T09","18:21:00","18:21:00","BurlBay_01","1","Airport Blvd./Rollins Rd","0","0","0.00000000",1
"Bayside_Burlingame_pm_T09","18:32:00","18:32:00","BurlBay_10","2","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T09","18:32:00","18:32:00","BurlBay_11","3","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T09","18:33:00","18:33:00","BurlBay_12","4","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T09","18:34:00","18:34:00","BurlBay_13","5","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T09","18:40:00","18:40:00","BurlBay_14","6","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T09","18:41:00","18:41:00","BurlBay_15","7","Millbrae Intermodal Station","0","0","8.42200000",1
"Bayside_Burlingame_pm_T09","18:42:00","18:42:00","BurlBay_16","8","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T09","18:48:00","18:48:00","BurlBay_02","9","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T09","18:49:00","18:49:00","BurlBay_03","10","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T09","18:50:00","18:50:00","BurlBay_04","11","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T09","18:51:00","18:51:00","BurlBay_05","12","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T09","18:55:00","18:55:00","BurlBay_01","13","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_am_T01","7:00:00","7:00:00","BurlBay_01","1","Old Bayshore Hwy.","0","0","0.00000000",1
"Bayside_Burlingame_am_T01","7:03:00","7:03:00","BurlBay_02","2","Old Bayshore Hwy.","0","0","1.52000000",1
"Bayside_Burlingame_am_T01","7:04:00","7:04:00","BurlBay_03","3","Old Bayshore Hwy.","0","0","2.24200000",1
"Bayside_Burlingame_am_T01","7:05:00","7:05:00","BurlBay_04","4","Old Bayshore Hwy.","0","0","2.53500000",1
"Bayside_Burlingame_am_T01","7:06:00","7:06:00","BurlBay_05","5","Old Bayshore Hwy.","0","0","3.09100000",1
"Bayside_Burlingame_am_T01","7:12:00","7:12:00","BurlBay_06","6","Old Bayshore Hwy.","0","0","4.89900000",1
"Bayside_Burlingame_am_T01","7:13:00","7:13:00","BurlBay_07","7","Old Bayshore Hwy.","0","0","5.44100000",1
"Bayside_Burlingame_am_T01","7:14:00","7:14:00","BurlBay_08","8","Old Bayshore Hwy.","0","0","6.07900000",1
"Bayside_Burlingame_am_T01","7:20:00","7:20:00","BurlBay_09","9","Millbrae Intermodal Station","0","0","7.56200000",1
"Bayside_Burlingame_am_T01","7:23:00","7:23:00","BurlBay_10","10","Millbrae Intermodal Station","0","0","8.56100000",1
"Bayside_Burlingame_am_T01","7:24:00","7:24:00","BurlBay_11","11","Millbrae Intermodal Station","0","0","8.82600000",1
"Bayside_Burlingame_am_T01","7:25:00","7:25:00","BurlBay_12","12","Millbrae Intermodal Station","0","0","9.18600000",1
"Bayside_Burlingame_am_T01","7:34:00","7:34:00","BurlBay_01","13","Millbrae Intermodal Station","0","0","13.68200000",1
"Bayside_Burlingame_am_T02","7:33:00","7:33:00","BurlBay_01","1","Old Bayshore Hwy.","0","0","0.00000000",1
"Bayside_Burlingame_am_T02","7:36:00","7:36:00","BurlBay_02","2","Old Bayshore Hwy.","0","0","1.52000000",1
"Bayside_Burlingame_am_T02","7:37:00","7:37:00","BurlBay_03","3","Old Bayshore Hwy.","0","0","2.24200000",1
"Bayside_Burlingame_am_T02","7:38:00","7:38:00","BurlBay_04","4","Old Bayshore Hwy.","0","0","2.53500000",1
"Bayside_Burlingame_am_T02","7:39:00","7:39:00","BurlBay_05","5","Old Bayshore Hwy.","0","0","3.09100000",1
"Bayside_Burlingame_am_T02","7:45:00","7:45:00","BurlBay_06","6","Old Bayshore Hwy.","0","0","4.89900000",1
"Bayside_Burlingame_am_T02","7:46:00","7:46:00","BurlBay_07","7","Old Bayshore Hwy.","0","0","5.44100000",1
"Bayside_Burlingame_am_T02","7:47:00","7:47:00","BurlBay_08","8","Old Bayshore Hwy.","0","0","6.07900000",1
"Bayside_Burlingame_am_T02","7:53:00","7:53:00","BurlBay_09","9","Millbrae Intermodal Station","0","0","7.56200000",1
"Bayside_Burlingame_am_T02","7:56:00","7:56:00","BurlBay_10","10","Millbrae Intermodal Station","0","0","8.56100000",1
